epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.568,1.60523,2.53733,1.26997,0.02954,0.9594,0.5689,0.24253,1.37614,2.67015,1.05556,0.000653333,0.000653333,0.000653333
2,208.877,1.53519,1.47928,1.19694,0.75804,0.57655,0.65251,0.33986,1.44678,2.06788,1.2031,0.00126773,0.00126773,0.00126773
3,414.137,1.56207,1.36105,1.21963,0.6912,0.67241,0.71184,0.3915,1.48442,1.485,1.25293,0.00182932,0.00182932,0.00182932
4,678.354,1.50371,1.27943,1.19608,0.79369,0.78078,0.84677,0.49275,1.31519,1.21369,1.1839,0.0017624,0.0017624,0.0017624
5,821.332,1.38546,1.23811,1.17875,0.82228,0.83895,0.88001,0.49412,1.31626,1.24287,1.1785,0.0016832,0.0016832,0.0016832
6,930.98,1.35452,1.13372,1.16586,0.88577,0.84844,0.90871,0.538,1.30399,1.06617,1.16002,0.001604,0.001604,0.001604
7,1049.72,1.35867,1.11538,1.1764,0.8963,0.81875,0.89889,0.53016,1.32786,1.09092,1.15167,0.0015248,0.0015248,0.0015248
8,1117.39,1.30611,1.1033,1.14153,0.88811,0.82704,0.8899,0.52126,1.3005,1.07101,1.14376,0.0014456,0.0014456,0.0014456
9,1174.22,1.29968,1.04485,1.14574,0.90679,0.87009,0.92554,0.56297,1.21354,0.9851,1.16188,0.0013664,0.0013664,0.0013664
10,1216.67,1.22748,0.97604,1.09875,0.92382,0.88227,0.9384,0.58642,1.19323,0.91578,1.12262,0.0012872,0.0012872,0.0012872
11,1256.25,1.20044,0.92652,1.08891,0.95371,0.88904,0.94919,0.60809,1.15243,0.84679,1.07049,0.001208,0.001208,0.001208
12,1293.13,1.20258,0.92205,1.09176,0.94439,0.89615,0.94096,0.59332,1.20121,0.84695,1.07809,0.0011288,0.0011288,0.0011288
13,1334.7,1.15518,0.88267,1.07259,0.93349,0.91746,0.95841,0.63322,1.09313,0.82741,1.05595,0.0010496,0.0010496,0.0010496
14,1375.9,1.13574,0.86472,1.06562,0.93311,0.89175,0.94691,0.62603,1.11319,0.83066,1.06433,0.0009704,0.0009704,0.0009704
15,1416.99,1.11194,0.8282,1.0434,0.95501,0.91069,0.96627,0.638,1.12419,0.77248,1.07024,0.0008912,0.0008912,0.0008912
16,1450.54,1.09428,0.90358,1.04369,0.92368,0.88363,0.93678,0.61138,1.13864,0.85656,1.05623,0.000812,0.000812,0.000812
17,1488.67,1.03116,0.83045,1.02326,0.89045,0.89091,0.93478,0.61037,1.13449,0.89898,1.06526,0.0007328,0.0007328,0.0007328
